id,why_correct,why_others_wrong,cites
AUD-MCQ-ETHI-0001,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if pre-approved by audit committee; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0002,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,No violation - ownership under 50%; Indirect financial interest - independence not impaired if immaterial,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0003,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0004,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,No violation - ownership under 50%; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0005,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if fee is less than 10% of total fees; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0006,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0007,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if pre-approved by audit committee; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0008,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0009,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if pre-approved by audit committee; Only impaired for public companies","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0010,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0011,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Contingent fee arrangement violation; Indirect financial interest - independence not impaired if immaterial,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0012,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if pre-approved by audit committee; Only impaired for public companies","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0013,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0014,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0015,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Contingent fee arrangement violation; No violation - ownership under 50%,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0016,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0017,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if fee is less than 10% of total fees; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0018,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; No violation - ownership under 50%,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0019,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0020,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0021,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0022,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Contingent fee arrangement violation; No violation - ownership under 50%,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0023,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if fee is less than 10% of total fees; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0024,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0025,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0026,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0027,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; No violation - ownership under 50%,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0028,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0029,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0030,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0031,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,Indirect financial interest - independence not impaired if immaterial; No violation - ownership under 50%,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0032,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0033,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0034,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0035,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,No violation - ownership under 50%; Contingent fee arrangement violation,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0036,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0037,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"Only impaired for public companies; No, if pre-approved by audit committee","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0038,ET 1.295 prohibits services where CPA makes management decisions for audit clients. This creates self-review threat.,"No, if pre-approved by audit committee; No, if fee is less than 10% of total fees","ET 1.295.030, ET 1.295.040"
AUD-MCQ-ETHI-0039,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,No violation - ownership under 50%; Indirect financial interest - independence not impaired if immaterial,"ET 1.200.001, ET 1.110.010"
AUD-MCQ-ETHI-0040,AICPA Code 1.200.001 prohibits direct financial interests regardless of materiality. CFO ownership in audit firm creates impermissible direct interest.,No violation - ownership under 50%; Indirect financial interest - independence not impaired if immaterial,"ET 1.200.001, ET 1.110.010"
