id,why_correct,why_others_wrong,cites
BAR-MCQ-BUSI-0001,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0002,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0003,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0004,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0005,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0006,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0007,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0008,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0009,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0010,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
