id,why_correct,why_others_wrong,cites
FAR-MCQ-LEAS-0001,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0002,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0003,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${pv_calculated * 1.06},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0004,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0005,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0006,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0007,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0008,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${pv_calculated * 1.06},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0009,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0010,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0011,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0012,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0013,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${pv_calculated * 1.06},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0014,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0015,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0016,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0017,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${pv_calculated * 1.06}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0018,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${pv_calculated * 1.06},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0019,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0020,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${pv_calculated * 1.06},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0021,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${pv_calculated * 1.06},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0022,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0023,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0024,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0025,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${payment * term},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0026,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0027,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * (term - 1)}; ${pv_calculated * 1.06},"ASC 842-20-30-1, ASC 842-20-30-3"
FAR-MCQ-LEAS-0028,ASC 842-20: Lease liability = PV of lease payments using IBR. PV ordinary annuity: payment × PV factor.,${payment * term}; ${payment * (term - 1)},"ASC 842-20-30-1, ASC 842-20-30-3"
